layer,neuron,mean_abs_activation,activation_std,sharedness
0,1702,5.39703125,0.8720782553179719,6.188693535694952
0,1392,4.866484375,1.3752417201417209,3.5386367102517737
0,1734,3.28875,0.4810621589579147,6.836420413328123
0,1679,2.9720703125,0.8756759866141784,3.3940258313645604
17,345,2.8747265625,0.17697490121941328,16.243604596401727
0,332,2.86236328125,0.7530373147277872,3.801085848181183
0,1165,2.85109375,1.7877775202507897,1.5947689927497555
0,141,2.83140625,0.7879417938577776,3.5934160094762717
0,550,2.8144330596923828,1.641941941884989,1.7140870050340165
1,74,2.79748046875,0.5306077513570367,5.272209441693937
0,1453,2.78427734375,0.49244179589878684,5.654011728749628
0,1808,2.763515625,0.4738013698134582,5.832633606471893
17,2024,2.74015625,0.21777578824403898,12.582407299208592
1,92,2.70041015625,0.7603684643940052,3.5514447682379733
10,1112,2.698984375,0.1181675425623905,22.840125776917265
2,2035,2.663203125,0.17747412264604767,15.00606442916189
10,1189,2.6539453125,0.28265091367526984,9.389447529263986
17,1026,2.6484765625,0.15460066513964646,17.130970485393675
0,983,2.5778369140625,2.3102033939601747,1.11584798332218
0,1589,2.557890625,0.45149808282962633,5.66532850735651
0,1707,2.53001953125,0.5473004870314464,4.622716347753376
0,149,2.51330078125,0.6758604538913009,3.7186627033981066
0,216,2.4827734375,0.7987756123861512,3.1082199941774924
11,1515,2.46587890625,0.36219658669896637,6.808104186236526
4,1257,2.454140625,0.22325277821007206,10.992605118157332
0,1516,2.4292254638671875,1.6925572354681435,1.435238925882683
0,1302,2.4176953125,1.9500613622547465,1.2398041002671094
2,1950,2.258203125,0.20774310107659863,10.870119119133804
17,492,2.25060546875,0.09660733364218345,23.29618350613271
11,2011,2.24287109375,0.37463400464441704,5.986816677418625
3,735,2.22953125,0.21677619552273839,10.284897563250087
0,1236,2.228671875,0.40289950239880307,5.5315688655905255
8,65,2.2178125,0.09113729126639106,24.334585048533377
17,798,2.2093359375,0.11534435297483615,19.15409576996128
6,1548,2.190703125,0.09343433183383063,23.44619623009463
0,1216,2.177431640625,0.96972000480655,2.2454207239322166
10,1015,2.16537109375,0.15301523564095454,14.151250582526043
10,780,2.15021484375,0.5837650217088026,3.683350458555092
10,288,2.1385546875,0.9882321821131713,2.1640182967010464
7,1405,2.09912109375,0.24075050548845028,8.71903620910359
0,451,2.0985546875,1.190521169064918,1.7627178577852824
17,1402,2.08986328125,0.1575880198286985,13.261477757281003
1,923,2.071015625,0.45367705460277236,4.564945568754307
0,1765,2.070299072265625,3.4808440354342824,0.5947691009483067
13,1929,2.03974609375,0.37380994794414824,5.4566248125369565
1,858,2.036328125,0.7012591345425006,2.9038127574847707
17,1693,2.02033203125,0.1702935937309325,11.863747327423376
12,1542,1.9429248046875,1.0390849551764565,1.869840310138303
11,605,1.94181640625,0.35145851272430695,5.525007393307366
7,991,1.94060546875,0.9007831808898293,2.154351186355199
15,881,1.9356640625,0.17779742614462207,10.88684587638319
14,490,1.90619140625,0.10294949665585712,18.515611562535884
16,1682,1.90369140625,0.14187169680342107,13.418307039639604
6,410,1.8966796875,0.05303264893466424,35.7637033393016
0,646,1.88740234375,0.506123835537118,3.7291241433489826
10,1672,1.8696484375,0.6717869684788969,2.783093066899325
0,670,1.861259765625,0.7097245049246027,2.6225065221838544
0,1601,1.8609814453125,0.9457537386939064,1.9677209842823813
12,881,1.85947265625,0.23204339506172647,8.013434910829709
14,1087,1.827236328125,0.6155805170089368,2.9683092777109366
4,6,1.806484375,0.5629253003719304,3.2090957089879075
0,873,1.79677734375,0.2886152942424894,6.225488233316396
4,990,1.7928125,0.5123037329027514,3.4995040741509635
17,1977,1.7615625,0.19546159933963053,9.012273989762903
1,283,1.7488916015625,2.17552005513069,0.8038955069811718
1,1160,1.7472265625,0.2144661418806791,8.146826349148098
15,713,1.73609375,0.17908213243160245,9.694345449664667
6,1453,1.72814453125,0.33645050707396346,5.136385169676458
13,986,1.726611328125,0.8980918245818224,1.9225310356186838
11,1575,1.7192578125,0.3759757629861629,4.572776782386613
12,1212,1.70896484375,0.21797207431240753,7.840256642435775
0,53,1.699088134765625,0.9978625599906022,1.7027259065173468
4,60,1.694482421875,0.7421741090871536,2.2831302224068755
7,1228,1.693291015625,0.5352625877150996,3.1634713335409512
7,1164,1.6844921875,0.3638467352008378,4.629662423404089
4,1097,1.68404296875,0.3300179488184823,5.102867501333267
8,504,1.68259765625,0.1841536912907021,9.13687098849897
6,1666,1.6663671875,0.8419218648144475,1.9792397345892876
8,1802,1.658203125,0.12487481524479577,13.278817213320304
3,5,1.64962890625,0.03855865983683932,42.781210032199745
1,774,1.645546875,0.506504210142994,3.248825169114129
17,288,1.6444921875,0.10270242938443493,16.012047478418754
7,63,1.64037109375,0.3284523519393747,4.994228507836256
6,1865,1.62953125,0.2268624899701772,7.18287129504273
8,1499,1.61955078125,0.11162610717087657,14.508579701620537
0,379,1.6194140625,0.2883562714671446,5.615998702791568
13,756,1.5958203125,0.19602367009073124,8.140915690669773
17,1433,1.591904296875,0.3354321290395213,4.745817151195698
0,1186,1.58592529296875,1.062226326171952,1.4930187295068913
0,273,1.5705859375,0.7984416814347456,1.9670615988085294
10,1454,1.569296875,0.08348163480436506,18.79788387941424
0,1206,1.56197265625,0.4348021550627839,3.5923673461487584
4,1859,1.559140625,0.17294325339973332,9.015278590357626
4,723,1.558597412109375,1.0066427270329252,1.5483108574106246
11,1912,1.55826171875,0.1920712608576216,8.112893094464592
6,1518,1.55314453125,0.32023898677664686,4.849939406015681
0,160,1.55046875,0.31984277677551004,4.847581421251893
0,898,1.54904296875,0.4899196259111338,3.161824358525741
11,1966,1.52947265625,0.2121055253664817,7.2108703568046675
11,1312,1.52923828125,0.18539445939822885,8.248520682295682
16,888,1.52474609375,0.1337180625361177,11.40260831052539
0,1389,1.52453125,0.18970069198361533,8.036466275333352
14,364,1.52083984375,0.12537953702679602,12.129792069920468
1,545,1.513150634765625,0.8701902715223006,1.7388713082797764
10,748,1.51138671875,0.23529159230111213,6.423435196021071
10,1474,1.50236328125,0.14173196985396952,10.599956261397166
12,258,1.50095703125,0.18315897551550578,8.194787245551545
2,400,1.50005859375,0.28429637517882517,5.276371590861337
5,1966,1.49931640625,0.0605732521929076,24.751711362035582
12,505,1.49455078125,0.1732748381629753,8.625269380283097
15,1429,1.492119140625,0.11382226639583369,13.109087341036073
0,93,1.49181396484375,1.3993824459979305,1.0660508877035526
0,174,1.4898876953125,1.0669036036223067,1.3964582121532705
4,989,1.48724609375,0.20457004677487756,7.270071289152938
0,427,1.4871612393856048,1.1198599888021785,1.3279873611601531
8,420,1.470380859375,0.3882848495838478,3.786851519185947
0,644,1.455439453125,0.7634209078384426,1.9064680200833375
17,27,1.4535205078125,0.35596254493409546,4.083340916502028
