prompt_family,layer,hidden_norm,attention_norm,mlp_mean_abs
chat_template,0,171.82340774536132,169.47745529174804,0.2013362416625023
chat_template,1,785.4943951416016,128.56180870056153,0.17029394775629045
chat_template,2,1044.9457446289061,23.493160285949706,0.1598637330532074
chat_template,3,1386.271064453125,13.624524459838867,0.19567662715911865
chat_template,4,793.0865881347656,12.288439741134644,0.19517186671495437
chat_template,5,2376.5855859375,19.79960765838623,0.13941256165504456
chat_template,6,3438.955739746094,6.795966138839722,0.1645086994767189
chat_template,7,4747.158896484375,15.876857681274414,0.17058670580387114
chat_template,8,5252.349926757813,18.56300844192505,0.20021647870540618
chat_template,9,5484.030615234375,14.008012170791625,0.1503681555390358
chat_template,10,8963.4096875,27.513600540161132,0.22220587134361267
chat_template,11,9222.8068359375,3.8769623136520384,0.2042596408724785
chat_template,12,12818.711328125,30.15139757156372,0.15763788685202598
chat_template,13,15550.94013671875,22.41976058959961,0.1266227214038372
chat_template,14,19094.07380859375,45.852259178161624,0.12570396050810814
chat_template,15,19993.51734375,33.3387491607666,0.11232525140047073
chat_template,16,24465.99556640625,32.36188102722168,0.11875807076692581
chat_template,17,299.6540446472168,9.95934126853943,0.14976129278540612
declarative,0,131.903583984375,159.8719561767578,0.21354471653699875
declarative,1,863.1887091064453,127.74650733947755,0.2406916517019272
declarative,2,1209.8029711914062,22.1022047996521,0.19124236971139907
declarative,3,1622.828526611328,14.264940910339355,0.2205739726126194
declarative,4,2396.000075683594,10.19115424156189,0.18023033916950226
declarative,5,2809.427507324219,19.961185245513917,0.1465246632695198
declarative,6,3579.270905761719,8.520955815315247,0.16504552140831946
declarative,7,5660.349580078125,17.533274402618407,0.17178509771823883
declarative,8,5436.840278320313,16.48830478668213,0.17347855299711226
declarative,9,5614.70669921875,14.619319696426391,0.13711749717593194
declarative,10,8645.50029296875,28.84590145111084,0.19781358689069747
declarative,11,9878.957939453125,4.976892499923706,0.19655238181352616
declarative,12,12467.750380859376,35.84448945999146,0.15937888413667678
declarative,13,15564.463330078124,24.56060245513916,0.12850260838866234
declarative,14,19317.339375,51.5711319732666,0.121972461566329
declarative,15,20918.35072265625,36.17294456481934,0.10549836434423923
declarative,16,24467.0464453125,38.633809394836426,0.10498662665486336
declarative,17,254.99253219604492,10.272814283370971,0.13426864050328732
qa,0,125.80761505126954,162.07061691284179,0.2853403994441032
qa,1,811.8235858154297,148.01896926879883,0.23839103281497956
qa,2,1005.4669677734375,21.278504295349123,0.17537305504083633
qa,3,1816.2303576660156,14.059727048873901,0.2196699771285057
qa,4,2113.7026171875,11.576295871734619,0.17632834121584892
qa,5,3479.671337890625,16.670493774414062,0.15289035081863403
qa,6,3657.4895336914065,6.208148665428162,0.15274763971567154
qa,7,4917.966748046875,16.159791650772096,0.1609629748761654
qa,8,5442.40951171875,15.223108615875244,0.18933090656995774
qa,9,5223.6571875,14.767561101913453,0.13579420745372772
qa,10,8319.630522460937,30.55763988494873,0.18975670054554938
qa,11,8843.941025390624,5.1411878824234005,0.1916582016646862
qa,12,12049.477236328124,35.050255584716794,0.15426765128970146
qa,13,14717.231435546875,25.58033866882324,0.11794274143874645
qa,14,18463.8741015625,46.6366873550415,0.11648365870118141
qa,15,19923.40947265625,36.6835230255127,0.09896998606622219
qa,16,25479.8159765625,36.746261024475096,0.09348055675625801
qa,17,190.96790878295897,12.27662585258484,0.11973291598260402
raw_question,0,154.4782208251953,191.74450225830077,0.2564330142736435
raw_question,1,1068.5983386230469,106.21666595458984,0.19758839055895805
raw_question,2,1297.4683801269532,16.21782230377197,0.1614869414269924
raw_question,3,1599.6508276367188,13.744304132461547,0.20130510330200196
raw_question,4,2306.8058935546874,9.990077533721923,0.18549338206648827
raw_question,5,2706.318513183594,20.09024383544922,0.14420515090227126
raw_question,6,3239.513464355469,8.247978806495667,0.15835000962018966
raw_question,7,5030.887680664063,16.762898254394532,0.16686958506703375
raw_question,8,5893.598745117188,16.330869636535645,0.17081118121743202
raw_question,9,5300.50349609375,12.170491313934326,0.13282507345080374
raw_question,10,10492.65435546875,24.997276916503907,0.19669589146971703
raw_question,11,10870.70431640625,3.509276473522186,0.1707811561226845
raw_question,12,12962.631015625,27.20067720413208,0.12911205232143402
raw_question,13,16288.907998046874,26.24203243255615,0.10731861166656018
raw_question,14,17370.1425,45.00364906311035,0.1088723487406969
raw_question,15,18362.80087890625,34.21397272109985,0.10131500832736492
raw_question,16,24884.01228515625,39.69001136779785,0.09097631230950355
raw_question,17,164.2637533569336,10.82836480140686,0.1190810177475214
