position,layer,within_fact_similarity,same_relation_similarity,global_other_similarity,invariance_gap,family_centroid_separation
subject,0,0.6914012974335088,0.45153591810650057,0.3364033523270208,0.2398653793270082,0.37433132032553357
subject,1,0.8117883533239365,0.5845374539931953,0.487386646987741,0.22725089933074116,0.19719719886779785
subject,2,0.7537829302251339,0.519937649655692,0.40615423061739936,0.23384528056944187,0.2739248375097911
subject,3,0.7552791996134652,0.5781932009271149,0.4668137056364988,0.17708599868635033,0.23262937863667807
subject,4,0.7513670501609643,0.617941250714163,0.5071488946605112,0.13342579944680133,0.1966289778550466
subject,5,0.7371428411867883,0.5926586919266618,0.4655796783879244,0.14448414926012654,0.2356070081392924
subject,6,0.7398566083775626,0.6010342684376871,0.46727147562907906,0.13882233993987547,0.23806575934092203
subject,7,0.7550112582743168,0.628723858517002,0.49123516368951337,0.12628739975731484,0.22089239954948425
subject,8,0.7727375893957085,0.6464227110909467,0.5138045676906283,0.12631487830476174,0.19974042971928915
subject,9,0.7901950147416856,0.685825986313549,0.5661332189014906,0.10436902842813667,0.16630813479423523
subject,10,0.7874968401259846,0.6831846720002818,0.5546762076859725,0.10431216812570288,0.1733370323975881
subject,11,0.7720565078159173,0.6723512682499307,0.5343330004575869,0.09970523956598654,0.1917314330736796
subject,12,0.7813751752177874,0.6930806870205384,0.5606332345102499,0.08829448819724905,0.17745827635129294
subject,13,0.7726987711257405,0.6964938579578743,0.5663479764092093,0.07620491316786615,0.18136278788248697
subject,14,0.7380598086449836,0.6829896267672831,0.5532464348025516,0.05507018187770041,0.21183183789253235
subject,15,0.7337042137980461,0.676555540957347,0.5334530555720751,0.05714867284069902,0.21648918588956198
subject,16,0.7311735736827055,0.687608120703336,0.5602127253149067,0.043565452979369534,0.20049086213111877
subject,17,0.7286218014028337,0.6965169796663704,0.580595150438603,0.03210482173646334,0.20025089383125305
subject,18,0.7208618268370628,0.7036142179573124,0.5923425751654172,0.01724760887975041,0.20130147536595663
subject,19,0.6917305480274889,0.6906897988142163,0.5793805953600288,0.0010407492132725737,0.21647252639134726
subject,20,0.7103601783514023,0.7112754653574842,0.6032922727094653,-0.0009152870060818996,0.1951357126235962
subject,21,0.780584870196051,0.767087650191829,0.6901196637423709,0.013497220004222044,0.1394237478574117
subject,22,0.7839281164937549,0.7660554396835241,0.682513445976656,0.01787267681023086,0.1369237800439199
subject,23,0.5871780659175582,0.609159392431717,0.5074524158576322,-0.02198132651415885,0.31435314814249676
preanswer,0,0.3568901924830344,0.5166777582345248,0.49073951699667506,-0.1597875657514904,0.6094883382320404
preanswer,1,0.5603549630277687,0.6691511730409482,0.6473196261536537,-0.10879621001317952,0.398137425382932
preanswer,2,0.4151044600125816,0.559734125950402,0.5305139058350404,-0.14462966593782034,0.5444847146670023
preanswer,3,0.44542156784898707,0.582295894016032,0.5533436464747259,-0.13687432616704492,0.5117768049240112
preanswer,4,0.44384393841028214,0.5788395057488798,0.5482038459119697,-0.13499556733859763,0.5143843193848928
preanswer,5,0.44573459699749945,0.5805443979263532,0.548700681330067,-0.1348098009288537,0.5110323876142502
preanswer,6,0.4504679700980584,0.5844030422045652,0.5515975679859467,-0.1339350721065068,0.5078030924002329
preanswer,7,0.48663005530834197,0.6119832157044474,0.5789901867411875,-0.1253531603961054,0.46992484231789905
preanswer,8,0.4893113953785764,0.6124073327434334,0.579661785883622,-0.12309593736485702,0.4687802990277608
preanswer,9,0.5301613568431801,0.6436153129984935,0.6130806810384254,-0.1134539561553134,0.4261703093846639
preanswer,10,0.5194984743992488,0.6352360898346612,0.6016851924101098,-0.11573761543541239,0.44023385643959045
preanswer,11,0.527337989045514,0.6423787252949269,0.6091191828638937,-0.11504073624941291,0.43098371227582294
preanswer,12,0.5405758767492241,0.6518999812785875,0.6200771025588943,-0.11132410452936337,0.42249297598997754
preanswer,13,0.5518333138691054,0.6606114820944089,0.6302261445373815,-0.1087781682253035,0.4121794601281484
preanswer,14,0.6141295945478811,0.7048421283619422,0.6490096442181513,-0.09071253381406108,0.3468035360177358
preanswer,15,0.6182842227319877,0.7078585350377993,0.6418299370794557,-0.08957431230581159,0.3446308920780818
preanswer,16,0.660953055570523,0.7403371310933973,0.6762394168310695,-0.0793840755228743,0.297477384408315
preanswer,17,0.7220236682229572,0.782952957047206,0.7317695098709212,-0.06092928882424886,0.23232669631640115
preanswer,18,0.7352296042773458,0.7931224800194755,0.7330900550910479,-0.057892875742129646,0.21272801359494528
preanswer,19,0.7255486434532536,0.7851276670893034,0.7173107870699217,-0.05957902363604972,0.21293741464614868
preanswer,20,0.7336564464701547,0.7667357111236814,0.6747560531560642,-0.03307926465352673,0.19522851705551147
preanswer,21,0.7596370831959778,0.7446639393653833,0.675787037156988,0.014973143830594449,0.16106470425923666
preanswer,22,0.7500728551712301,0.7344472078324268,0.6717111874410572,0.01562564733880334,0.1760662098725637
preanswer,23,0.3998228115391814,0.4766290227779626,0.4099256856387607,-0.07680621123878117,0.6014218875595058
