layer,neuron,mean_abs_activation,activation_std,family_mean_std,sharedness,family_sensitivity,invariance_score,prompt_sensitive_score
10,232,0.1693115234375,0.000762328857226367,0.0005033087921896558,221.80678987128906,0.002972661336392208,221.14938763709344,8.521597836511873e-05
9,880,0.16888427734375,0.0010047654805392047,0.000607292136905896,167.9161599911033,0.0035958856003167777,167.3145161318209,0.00010256209367789393
6,545,0.1693115234375,0.0010285827359834423,0.0006573687508709111,164.4467389750627,0.003882576064218735,163.81073135045924,0.00011130010467016036
12,830,0.168701171875,0.0010641843123878599,0.0006224389054678692,158.37744690101272,0.0036895725677382847,157.79524987575172,0.00010500617277302189
0,265,0.1690673828125,0.0011385960758165058,0.0005033087921896558,148.35728763927642,0.0029769539627514784,147.9169457016119,8.509310024202556e-05
5,1682,0.16943359375,0.0012448778109357384,0.000711786119976233,135.99535384833922,0.004200949193565927,135.42643427846957,0.00012060048028894183
5,474,0.168701171875,0.0012685919000748613,0.0008970299351012615,132.87826731176574,0.005317239992416438,132.1754586768731,0.000151330001258538
13,1982,0.16864013671875,0.001278828542465635,0.000556056737008319,131.7677572605615,0.003297278160166096,131.33471018898362,9.377348415246493e-05
13,1565,0.1685791015625,0.0013756625573223442,0.0005033087921896558,122.45491872052663,0.002985576515405392,122.09040846425948,8.48473439958392e-05
1,1950,0.16754150390625,0.001379718573664223,0.0008165947363439729,121.34370254875303,0.00487395566680146,120.75514731420552,0.00013681351020899694
13,83,0.16766357421875,0.0014117472541772921,0.0007981382342908948,118.67910110813716,0.004760327206924304,118.11682636599157,0.00013381870908185352
5,355,0.1688232421875,0.0015392480728660268,0.0008544921875,109.6078256234147,0.0050614306122635025,109.055847020857,0.00014425814151763916
11,1577,0.1683349609375,0.0015774960917138777,0.0001220703125,106.64262130337465,0.0007251588538786577,106.56534450029365,2.0548701286315918e-05
5,1401,0.16851806640625,0.0015810344051499778,0.0013958247834508389,106.5198492887861,0.00828288936805474,105.64480505619593,0.00023522169354905798
11,13,0.16845703125,0.0015822120845722315,0.0014024811148774484,106.40206254837642,0.00832540368939785,105.52353650821264,0.00023625780499644515
13,249,0.1688232421875,0.0016148384466946964,0.0010139921707663666,104.4802730946519,0.006006200043476008,103.85649023846636,0.00017118544582151916
