prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1
chat_template,0.4048299319727891,0.30244897959183675,0.0,0.05952380952380953,0.09523809523809525,0.10238095238095239
declarative,0.1896062667491239,0.1527540713254999,0.0,0.027056277056277056,0.036852195423623994,0.036852195423623994
qa,0.20950010307153163,0.18827355184498043,0.0,0.011623376623376624,0.017655122655122653,0.021226551226551225
raw_question,0.21349000206143062,0.1986487322201608,0.0,0.009126984126984126,0.011666666666666667,0.01484126984126984
