prompt_family,answer_f1,target_selectivity,same_subject_control_f1,same_relation_control_f1,lexical_distractor_f1,max_control_f1
chat_template,0.1942171717171717,0.17914983164983164,0.0030303030303030303,0.012037037037037037,0.003703703703703704,0.015067340067340068
declarative,0.2139081289081289,0.1847017797017797,0.0,0.006666666666666667,0.02253968253968254,0.029206349206349205
qa,0.4772138047138047,0.393510101010101,0.0,0.012037037037037037,0.07537037037037037,0.0837037037037037
raw_question,0.17794372294372296,0.13683261183261183,0.0,0.012037037037037037,0.03277777777777778,0.04111111111111111
