case_id,layer,cosine_similarity
365,0,0.9963725970936589
365,0,0.9932096567478951
365,1,0.9991810306688376
365,1,0.9989393206664123
365,2,0.9966825569674042
365,2,0.9859622384759725
365,3,0.9969950947473493
365,3,0.9912163075435814
365,4,0.9955839003223909
365,4,0.992850547996479
365,5,0.9980032636005092
365,5,0.996442075114593
365,6,0.9937200407224459
365,6,0.9949870102269492
365,7,0.9967640656827006
365,7,0.9965586178462923
365,8,0.9944888234467518
365,8,0.9955541745341183
365,9,0.9934467409618398
365,9,0.9916558270480296
365,10,0.9924370518845431
365,10,0.9864975528488381
365,11,0.9793178759641654
365,11,0.9591352634355068
365,12,0.9803734429546155
365,12,0.9086694840800837
365,13,0.9875478381494381
365,13,0.9442187975365911
365,14,0.9882359383745827
365,14,0.9519867001182652
365,15,0.9812881422544945
365,15,0.9395235667534444
365,16,0.984470414708371
365,16,0.9544490399884854
365,17,0.9221038908319722
365,17,0.8120561516611561
548,0,0.9809681422869642
548,0,0.9010471820251199
548,1,0.9963059967167911
548,1,0.9813163418719917
548,2,0.9883032098768282
548,2,0.9756271596148224
548,3,0.9787455919547132
548,3,0.9353330851163867
548,4,0.9795402683553022
548,4,0.9463759001197787
548,5,0.9901986292714299
548,5,0.9800286812389231
548,6,0.990162223661451
548,6,0.9822468682208293
548,7,0.9911343428311926
548,7,0.9885223330897789
548,8,0.9924163742509231
548,8,0.9848368567203984
548,9,0.9902930876672866
548,9,0.9855254815743832
548,10,0.9866717016594018
548,10,0.9829743785013412
548,11,0.9615262095164293
548,11,0.9503837466488606
548,12,0.9466337358057209
548,12,0.9553778896652367
548,13,0.959926286811519
548,13,0.9640956695681535
548,14,0.9624261937919617
548,14,0.9684157476987585
548,15,0.9480265406438755
548,15,0.9609318667066348
548,16,0.9628276021810089
548,16,0.9622416331298137
548,17,0.8566216128337303
548,17,0.8578383850152907
731,0,0.9979473726872158
731,0,0.9919910225649198
731,1,0.9997980261661314
731,1,0.9986656563360968
731,2,0.9991027959824714
731,2,0.9967964882302862
731,3,0.9964318549590961
731,3,0.9974208114074313
731,4,0.9944657315610848
731,4,0.9963421306281941
731,5,0.9976419582139323
731,5,0.9978287369154105
731,6,0.9978941653290033
731,6,0.9959770926789674
731,7,0.9987809081064574
731,7,0.996553898275504
731,8,0.9983016897016481
731,8,0.9958626061029676
731,9,0.9970375079107614
731,9,0.9954619059354575
731,10,0.9948512096256656
731,10,0.9908122445894051
731,11,0.9872302656875928
731,11,0.9695255659884965
731,12,0.9587873551834901
731,12,0.9537457613194792
731,13,0.9728503932906075
731,13,0.954983863122844
731,14,0.9793205647933686
731,14,0.9654992926685179
731,15,0.9491573414852199
731,15,0.9284474133249189
731,16,0.9602877351413603
731,16,0.9452375165153168
731,17,0.8942742571182959
731,17,0.8495826820619604
2348,0,0.2356272271109088
2348,0,0.987391001168026
2348,1,0.9579295996311841
2348,1,0.9976188917327323
2348,2,0.9205184597581506
2348,2,0.9891791143181297
2348,3,0.8760698900447096
2348,3,0.9866589545887867
2348,4,0.883284644679869
2348,4,0.9930208816930746
2348,5,0.9543310243685298
2348,5,0.9924901549627697
2348,6,0.9476121931405513
2348,6,0.9918917803232402
2348,7,0.9789477007417501
2348,7,0.9941662436582507
2348,8,0.9768086688911704
2348,8,0.9900565192703122
2348,9,0.9756341638459134
2348,9,0.9906810701446951
2348,10,0.9820778945888344
2348,10,0.9838397947394449
2348,11,0.9600738819035287
2348,11,0.9491192292030958
2348,12,0.9130055114434812
2348,12,0.8930854549934342
2348,13,0.9446049849949875
