fact_id,relation,position,layer,within_fact_similarity,same_relation_similarity,invariance_gap,split_eval,analysis_variant
capital:0,capital,subject,0,0.8604645530382792,0.8084998401429724,0.0519647128953068,all,all_families
capital:0,capital,subject,1,0.9018498857816061,0.8309172803864759,0.07093260539513013,all,all_families
capital:0,capital,subject,2,0.9017597039540609,0.8309386556639391,0.07082104829012181,all,all_families
capital:0,capital,subject,3,0.8705970744291941,0.7990146961939686,0.07158237823522551,all,all_families
capital:0,capital,subject,4,0.8717998961607615,0.7989502025439459,0.07284969361681559,all,all_families
capital:0,capital,subject,5,0.8559381465117136,0.783069687511991,0.07286845899972261,all,all_families
capital:0,capital,subject,6,0.8560434182484945,0.7991037001723752,0.056939718076119306,all,all_families
capital:0,capital,subject,7,0.8582890530427297,0.8059333303176305,0.05235572272509925,all,all_families
capital:0,capital,subject,8,0.8587140440940857,0.8063992121640373,0.05231483193004838,all,all_families
capital:0,capital,subject,9,0.8577441275119781,0.8069722651339629,0.05077186237801523,all,all_families
capital:0,capital,subject,10,0.8415417373180389,0.7928285861716551,0.04871315114638386,all,all_families
capital:0,capital,subject,11,0.8465914328893026,0.7972229065044838,0.04936852638481881,all,all_families
capital:0,capital,subject,12,0.8522032002607981,0.7999483508003109,0.052254849460487196,all,all_families
capital:0,capital,subject,13,0.8504843612511953,0.8061131544630317,0.04437120678816364,all,all_families
capital:0,capital,subject,14,0.8560407857100168,0.8187518702710376,0.037288915438979275,all,all_families
capital:0,capital,subject,15,0.8738182584444681,0.8347607116927119,0.03905754675175621,all,all_families
capital:0,capital,subject,16,0.8859077791372935,0.8420000825734699,0.04390769656382354,all,all_families
capital:0,capital,subject,17,0.8840826650460561,0.8383806010379511,0.04570206400810506,all,all_families
capital:0,capital,subject,18,0.8709485729535421,0.8304422510897412,0.040506321863800876,all,all_families
capital:0,capital,subject,19,0.8679236769676208,0.8428591603741926,0.025064516593428232,all,all_families
capital:0,capital,subject,20,0.8468777139981588,0.8237551209681174,0.023122593030041383,all,all_families
capital:0,capital,subject,21,0.8357702791690826,0.823681662845261,0.012088616323821633,all,all_families
capital:0,capital,subject,22,0.7918075025081635,0.7902252814349007,0.0015822210732627795,all,all_families
capital:0,capital,subject,23,0.7302404344081879,0.744875887847122,-0.014635453438934132,all,all_families
capital:0,capital,subject,24,0.7247077822685242,0.748143682585043,-0.023435900316518876,all,all_families
capital:0,capital,subject,25,0.6765004098415375,0.7111749129698557,-0.03467450312831821,all,all_families
capital:0,capital,subject,26,0.669087419907252,0.6969059206107083,-0.027818500703456372,all,all_families
capital:0,capital,subject,27,0.6355605324109396,0.6675818315981066,-0.03202129918716701,all,all_families
