prompt_family,layer,hidden_norm,attention_norm,mlp_mean_abs
chat_template,0,171.93467712402344,169.47069091796874,0.2017391324043274
chat_template,1,786.9720947265625,128.6397674560547,0.17003160417079927
chat_template,2,1049.47392578125,23.47285575866699,0.15959305167198182
chat_template,3,1389.06865234375,13.606302833557129,0.19528249502182007
chat_template,4,796.598291015625,12.261540603637695,0.19452259838581085
chat_template,5,2380.246533203125,19.828112030029295,0.13951441049575805
chat_template,6,3447.876171875,6.77402696609497,0.16424486935138702
chat_template,7,4756.839453125,15.73017234802246,0.17030460834503175
chat_template,8,5255.70576171875,18.411547088623045,0.20027944147586824
chat_template,9,5514.7005859375,13.974778366088866,0.15034070014953613
chat_template,10,8979.51484375,27.056394958496092,0.22169598937034607
chat_template,11,9203.5146484375,3.8319412231445313,0.20415733456611634
chat_template,12,12926.5896484375,30.024291610717775,0.15803944766521455
chat_template,13,15334.1806640625,22.232851791381837,0.12754329591989516
chat_template,14,18647.671484375,47.069559478759764,0.12621794492006302
chat_template,15,19979.45234375,34.12516479492187,0.11297715902328491
chat_template,16,24313.40625,31.35673828125,0.11908933222293853
chat_template,17,304.2871887207031,9.586603164672852,0.14970000982284545
declarative,0,132.16499938964844,157.3495300292969,0.21562844812870025
declarative,1,862.695361328125,130.16354522705078,0.24134414196014403
declarative,2,1218.5376708984375,21.934024810791016,0.19090887010097504
declarative,3,1618.3160400390625,14.408947944641113,0.2190895050764084
declarative,4,2430.9349609375,10.070665550231933,0.18015027344226836
declarative,5,2831.834033203125,20.26689567565918,0.14691634476184845
declarative,6,3523.673876953125,8.607157516479493,0.1646612197160721
declarative,7,5591.81552734375,17.37119255065918,0.17099134922027587
declarative,8,5424.7888671875,16.4138484954834,0.17361313700675965
declarative,9,5583.826171875,14.826352500915528,0.13690333664417267
declarative,10,8597.222265625,28.84490203857422,0.19802782833576202
declarative,11,9868.3978515625,5.00868034362793,0.19715689420700072
declarative,12,12583.227734375,35.64936141967773,0.1599032014608383
declarative,13,15511.42421875,23.862591552734376,0.12907678186893462
declarative,14,19221.209375,51.54199752807617,0.12285393178462982
declarative,15,21039.528515625,36.694862365722656,0.10637105107307435
declarative,16,24404.860546875,37.97053909301758,0.10614286065101623
declarative,17,265.66502685546874,10.339142799377441,0.1348990172147751
qa,0,125.9566864013672,161.53683471679688,0.2864645063877106
qa,1,813.0998413085938,149.0497314453125,0.23881135880947113
qa,2,1007.0520629882812,21.358125686645508,0.17571612000465392
qa,3,1816.1659423828125,14.082302856445313,0.21985276639461518
qa,4,2116.869970703125,11.554927635192872,0.17643578946590424
qa,5,3482.40927734375,16.694655227661134,0.15254222154617308
qa,6,3608.06796875,6.207665920257568,0.15235534012317659
qa,7,4881.50673828125,16.119651794433594,0.16066506505012512
qa,8,5386.06904296875,15.275714111328124,0.189091694355011
qa,9,5176.8017578125,14.74131374359131,0.13565743267536162
qa,10,8269.137890625,30.651029968261717,0.18960562646389006
qa,11,8734.2044921875,5.129454326629639,0.19169455766677856
qa,12,12070.51796875,35.24415664672851,0.1538051187992096
qa,13,14585.6021484375,25.588615798950194,0.11784041523933411
qa,14,18280.76328125,46.170325469970706,0.11631287038326263
qa,15,19751.3,37.548804473876956,0.09907313883304596
qa,16,25361.9765625,36.12646484375,0.0936215952038765
qa,17,190.88130798339844,12.123261451721191,0.11920427232980728
raw_question,0,154.8304656982422,193.07095947265626,0.25630803108215333
raw_question,1,1068.08974609375,106.82492065429688,0.197749000787735
raw_question,2,1305.75625,16.417938232421875,0.16209307312965393
raw_question,3,1605.6064453125,13.790266036987305,0.20059922337532043
raw_question,4,2342.366796875,9.935421371459961,0.18548256158828735
raw_question,5,2735.52451171875,20.314063262939452,0.1442149758338928
raw_question,6,3198.668408203125,8.313123321533203,0.15809618532657624
raw_question,7,4997.74462890625,16.73715934753418,0.16763879358768463
raw_question,8,5874.67138671875,16.348522567749022,0.17099573314189911
raw_question,9,5311.5296875,12.187788963317871,0.13268960118293763
raw_question,10,10491.664453125,25.061669158935548,0.19657808244228364
raw_question,11,10850.3427734375,3.5240035533905028,0.17074640095233917
raw_question,12,12996.957421875,26.667589950561524,0.12911083698272705
raw_question,13,16267.5861328125,26.237150573730467,0.10682066082954407
raw_question,14,17269.8703125,44.74816055297852,0.10886367559432983
raw_question,15,18412.735546875,34.6776611328125,0.10146102756261825
raw_question,16,24947.505859375,39.69352722167969,0.09058807939291
raw_question,17,166.07135314941405,10.723612976074218,0.11821115761995316
