model_name,model_variant,relation,fact_id,relation_control_fact_id,best_family,worst_family,early_layer,late_layer,baseline_best_answer_f1,projected_best_answer_f1,project_best_answer_f1_delta,baseline_best_selectivity,projected_best_selectivity,project_best_selectivity_delta,baseline_best_alignment,projected_best_alignment,project_best_alignment_delta,projected_best_control_answer_f1,project_best_control_answer_f1_delta,projected_best_control_selectivity,project_best_control_selectivity_delta,projected_best_control_alignment,project_best_control_alignment_delta,projected_best_random_answer_f1,project_best_random_answer_f1_delta,projected_best_random_selectivity,project_best_random_selectivity_delta,projected_best_random_alignment,project_best_random_alignment_delta,baseline_worst_answer_f1,patched_worst_answer_f1,patch_worst_answer_f1_delta,baseline_worst_selectivity,patched_worst_selectivity,patch_worst_selectivity_delta,baseline_worst_alignment,patched_worst_alignment,patch_worst_alignment_delta,patched_worst_control_answer_f1,patch_worst_control_answer_f1_delta,patched_worst_control_selectivity,patch_worst_control_selectivity_delta,patched_worst_control_alignment,patch_worst_control_alignment_delta,patched_worst_random_answer_f1,patch_worst_random_answer_f1_delta,patched_worst_random_selectivity,patch_worst_random_selectivity_delta,patched_worst_random_alignment,patch_worst_random_alignment_delta
smollm2_360m_base,base,capital,capital:0,capital:1,qa,chat_template,0,26,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0,0.07766658067703247,0.07043629884719849,-0.007230281829833984,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0701906681060791,-0.007475912570953369,0.2222222222222222,0.0,0.2222222222222222,0.0,0.07741552591323853,-0.0002510547637939453,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.02467024326324463,0.02373206615447998,-0.0009381771087646484,0.25,-0.08333333333333337,0.25,-0.08333333333333337,0.022907376289367676,-0.0017628669738769531,0.4,0.06666666666666665,0.4,0.06666666666666665,0.021284639835357666,-0.003385603427886963
smollm2_360m_base,base,capital,capital:1,capital:10,qa,chat_template,0,26,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.07141685485839844,0.0639333724975586,-0.007483482360839844,0.2857142857142857,0.0,0.2857142857142857,0.0,0.06332814693450928,-0.00808870792388916,0.2857142857142857,0.0,0.2857142857142857,0.0,0.07061034440994263,-0.0008065104484558105,0.0,0.0,0.0,0.0,0.0,0.0,0.013841032981872559,0.014654994010925293,0.0008139610290527344,0.0,0.0,0.0,0.0,0.014203846454620361,0.00036281347274780273,0.0,0.0,0.0,0.0,0.01488560438156128,0.0010445713996887207
smollm2_360m_base,base,capital,capital:2,capital:3,qa,chat_template,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.084999680519104,0.07382512092590332,-0.011174559593200684,0.0,0.0,0.0,0.0,0.08507513999938965,7.545948028564453e-05,0.0,0.0,0.0,0.0,0.08437526226043701,-0.0006244182586669922,0.0,0.0,0.0,0.0,0.0,0.0,0.012218058109283447,0.010446369647979736,-0.001771688461303711,0.0,0.0,0.0,0.0,0.007142305374145508,-0.0050757527351379395,0.0,0.0,0.0,0.0,0.01294928789138794,0.0007312297821044922
smollm2_360m_base,base,capital,capital:3,capital:4,qa,chat_template,0,26,0.5714285714285715,0.0,-0.5714285714285715,0.5714285714285715,0.0,-0.5714285714285715,0.0715143084526062,-0.007190883159637451,-0.07870519161224365,0.5714285714285715,0.0,0.5714285714285715,0.0,0.008385777473449707,-0.0631285309791565,0.5714285714285715,0.0,0.5714285714285715,0.0,0.07311314344406128,0.0015988349914550781,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.022670090198516846,0.011272788047790527,-0.011397302150726318,0.0,-0.3333333333333333,0.0,-0.3333333333333333,-0.019443869590759277,-0.04211395978927612,0.3333333333333333,0.0,0.3333333333333333,0.0,-0.01283121109008789,-0.035501301288604736
smollm2_360m_base,base,capital,capital:4,capital:5,qa,chat_template,0,26,0.2857142857142857,0.25,-0.0357142857142857,0.2857142857142857,0.25,-0.0357142857142857,0.1307695508003235,0.11399060487747192,-0.016778945922851562,0.2857142857142857,0.0,0.2857142857142857,0.0,0.12425428628921509,-0.0065152645111083984,0.2857142857142857,0.0,0.2857142857142857,0.0,0.13066166639328003,-0.00010788440704345703,1.0,1.0,0.0,1.0,1.0,0.0,0.027022600173950195,0.03029656410217285,0.0032739639282226562,1.0,0.0,1.0,0.0,0.028507471084594727,0.0014848709106445312,1.0,0.0,1.0,0.0,0.02411353588104248,-0.002909064292907715
smollm2_360m_base,base,capital,capital:5,capital:6,qa,chat_template,0,26,0.28571428571428575,0.0,-0.28571428571428575,0.28571428571428575,0.0,-0.28571428571428575,0.0695226788520813,0.060369908809661865,-0.009152770042419434,0.0,-0.28571428571428575,0.0,-0.28571428571428575,0.062954843044281,-0.006567835807800293,0.28571428571428575,0.0,0.28571428571428575,0.0,0.06957793235778809,5.525350570678711e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.02851206064224243,0.01600658893585205,-0.01250547170639038,0.0,0.0,0.0,0.0,0.013947069644927979,-0.014564990997314453,0.0,0.0,0.0,0.0,0.014467716217041016,-0.014044344425201416
smollm2_360m_base,base,capital,capital:6,capital:7,qa,chat_template,0,26,0.4444444444444445,0.4444444444444445,0.0,0.4444444444444445,0.4444444444444445,0.0,0.09921187162399292,0.0954940915107727,-0.003717780113220215,0.4444444444444445,0.0,0.4444444444444445,0.0,0.0956413745880127,-0.0035704970359802246,0.4444444444444445,0.0,0.4444444444444445,0.0,0.09891456365585327,-0.00029730796813964844,0.5714285714285715,0.5714285714285715,0.0,0.5714285714285715,0.5714285714285715,0.0,0.03261464834213257,0.028619825839996338,-0.0039948225021362305,0.5714285714285715,0.0,0.5714285714285715,0.0,0.029683470726013184,-0.0029311776161193848,0.5714285714285715,0.0,0.5714285714285715,0.0,0.029903709888458252,-0.0027109384536743164
smollm2_360m_base,base,capital,capital:7,capital:8,qa,chat_template,0,26,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.11066818237304688,0.09728449583053589,-0.013383686542510986,0.33333333333333337,0.0,0.33333333333333337,0.0,0.10286062955856323,-0.007807552814483643,0.33333333333333337,0.0,0.33333333333333337,0.0,0.11059904098510742,-6.914138793945312e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.011799097061157227,0.012172579765319824,0.00037348270416259766,0.0,0.0,0.0,0.0,0.009369850158691406,-0.0024292469024658203,0.0,0.0,0.0,0.0,0.009544849395751953,-0.0022542476654052734
smollm2_360m_base,base,capital,capital:8,capital:9,qa,chat_template,0,26,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0862511396408081,0.08726948499679565,0.0010183453559875488,0.2222222222222222,0.0,0.2222222222222222,0.0,0.08560878038406372,-0.0006423592567443848,0.25,0.02777777777777779,0.25,0.02777777777777779,0.08629584312438965,4.470348358154297e-05,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0571141242980957,0.05740761756896973,0.00029349327087402344,0.6666666666666666,0.0,0.6666666666666666,0.0,0.057578206062316895,0.0004640817642211914,0.0,-0.6666666666666666,0.0,-0.6666666666666666,0.056628525257110596,-0.0004855990409851074
smollm2_360m_base,base,capital,capital:9,capital:0,qa,chat_template,0,26,0.25,0.25,0.0,0.25,0.25,0.0,0.10853582620620728,0.10123300552368164,-0.007302820682525635,0.2222222222222222,-0.02777777777777779,0.2222222222222222,-0.02777777777777779,0.10210931301116943,-0.006426513195037842,0.25,0.0,0.25,0.0,0.10856235027313232,2.6524066925048828e-05,0.33333333333333337,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0,0.03163272142410278,0.03459811210632324,0.002965390682220459,0.33333333333333337,0.0,0.33333333333333337,0.0,0.034425437450408936,0.0027927160263061523,0.33333333333333337,0.0,0.33333333333333337,0.0,0.032873332500457764,0.0012406110763549805
