model_name,fact_id,relation,prompt_family,layer,hidden_norm,attention_norm,mlp_mean_abs
gemma_270m_base,capital:0,capital,raw_question,0,149.146240234375,196.52236938476562,0.2190682590007782
gemma_270m_base,capital:0,capital,raw_question,1,1099.87841796875,97.4885482788086,0.19005754590034485
gemma_270m_base,capital:0,capital,raw_question,2,1314.4542236328125,16.274986267089844,0.1644483059644699
gemma_270m_base,capital:0,capital,raw_question,3,1884.6151123046875,12.998712539672852,0.2214718759059906
gemma_270m_base,capital:0,capital,raw_question,4,2184.61328125,9.448415756225586,0.1808052510023117
gemma_270m_base,capital:0,capital,raw_question,5,2765.096923828125,18.03237533569336,0.14913460612297058
gemma_270m_base,capital:0,capital,raw_question,6,3551.90869140625,8.386224746704102,0.16657774150371552
gemma_270m_base,capital:0,capital,raw_question,7,5448.859375,18.10051155090332,0.18121011555194855
gemma_270m_base,capital:0,capital,raw_question,8,5835.07470703125,21.034587860107422,0.18155986070632935
gemma_270m_base,capital:0,capital,raw_question,9,6000.04052734375,13.819445610046387,0.14918866753578186
gemma_270m_base,capital:0,capital,raw_question,10,11300.3349609375,29.2309513092041,0.2112085521221161
gemma_270m_base,capital:0,capital,raw_question,11,11521.859375,4.3168768882751465,0.1911219358444214
gemma_270m_base,capital:0,capital,raw_question,12,14988.7783203125,26.6634464263916,0.1457253098487854
gemma_270m_base,capital:0,capital,raw_question,13,18415.166015625,31.507530212402344,0.1100371852517128
gemma_270m_base,capital:0,capital,raw_question,14,20576.046875,49.821128845214844,0.11757443100214005
gemma_270m_base,capital:0,capital,raw_question,15,22005.90625,34.79212188720703,0.10570424050092697
gemma_270m_base,capital:0,capital,raw_question,16,29711.966796875,43.26915740966797,0.09798260033130646
gemma_270m_base,capital:0,capital,raw_question,17,89.4758529663086,12.720602989196777,0.12892132997512817
gemma_270m_base,capital:0,capital,declarative,0,126.45860290527344,156.68089294433594,0.193534255027771
gemma_270m_base,capital:0,capital,declarative,1,912.0401611328125,100.44868469238281,0.21634848415851593
gemma_270m_base,capital:0,capital,declarative,2,1217.3631591796875,19.887798309326172,0.1894511580467224
gemma_270m_base,capital:0,capital,declarative,3,1720.1031494140625,13.147965431213379,0.23390468955039978
gemma_270m_base,capital:0,capital,declarative,4,2517.117431640625,10.507803916931152,0.19170133769512177
gemma_270m_base,capital:0,capital,declarative,5,2891.716552734375,18.10236930847168,0.15025222301483154
gemma_270m_base,capital:0,capital,declarative,6,3591.816162109375,8.595417022705078,0.16736504435539246
gemma_270m_base,capital:0,capital,declarative,7,6357.99072265625,19.542272567749023,0.1837228685617447
gemma_270m_base,capital:0,capital,declarative,8,5948.82177734375,20.012971878051758,0.17074228823184967
gemma_270m_base,capital:0,capital,declarative,9,7038.1044921875,16.26863670349121,0.13889843225479126
gemma_270m_base,capital:0,capital,declarative,10,9802.7587890625,29.304946899414062,0.17990067601203918
gemma_270m_base,capital:0,capital,declarative,11,11637.607421875,4.4297380447387695,0.2066931426525116
gemma_270m_base,capital:0,capital,declarative,12,15231.8857421875,33.59838104248047,0.1558074951171875
gemma_270m_base,capital:0,capital,declarative,13,19361.865234375,28.091434478759766,0.12589186429977417
gemma_270m_base,capital:0,capital,declarative,14,23734.111328125,53.5744743347168,0.12042061984539032
gemma_270m_base,capital:0,capital,declarative,15,25290.330078125,36.998252868652344,0.10000142455101013
gemma_270m_base,capital:0,capital,declarative,16,30681.59765625,38.676212310791016,0.09819409251213074
gemma_270m_base,capital:0,capital,declarative,17,119.439208984375,13.307010650634766,0.12019146978855133
gemma_270m_base,capital:0,capital,qa,0,112.58804321289062,139.17428588867188,0.25014692544937134
gemma_270m_base,capital:0,capital,qa,1,836.7548217773438,155.2806396484375,0.2368384301662445
gemma_270m_base,capital:0,capital,qa,2,997.609619140625,23.565954208374023,0.19190509617328644
gemma_270m_base,capital:0,capital,qa,3,2294.384033203125,14.499804496765137,0.23741862177848816
gemma_270m_base,capital:0,capital,qa,4,1634.918701171875,12.775259017944336,0.1951064169406891
gemma_270m_base,capital:0,capital,qa,5,3225.19873046875,17.129621505737305,0.15127870440483093
gemma_270m_base,capital:0,capital,qa,6,3491.499755859375,7.973806858062744,0.14615432918071747
gemma_270m_base,capital:0,capital,qa,7,4963.60791015625,17.509674072265625,0.16143763065338135
gemma_270m_base,capital:0,capital,qa,8,5041.27001953125,23.211286544799805,0.19085262715816498
gemma_270m_base,capital:0,capital,qa,9,5466.8798828125,16.926422119140625,0.14415454864501953
gemma_270m_base,capital:0,capital,qa,10,10006.0830078125,30.845252990722656,0.20403020083904266
gemma_270m_base,capital:0,capital,qa,11,10174.4140625,4.61940860748291,0.20446568727493286
gemma_270m_base,capital:0,capital,qa,12,14442.685546875,31.43747329711914,0.15911416709423065
gemma_270m_base,capital:0,capital,qa,13,17609.111328125,32.63832092285156,0.12204086035490036
gemma_270m_base,capital:0,capital,qa,14,21658.396484375,48.346553802490234,0.12344818562269211
gemma_270m_base,capital:0,capital,qa,15,24110.064453125,32.844200134277344,0.10115097463130951
gemma_270m_base,capital:0,capital,qa,16,33301.84375,36.18885803222656,0.08996966481208801
gemma_270m_base,capital:0,capital,qa,17,92.01902770996094,10.774796485900879,0.11475498229265213
gemma_270m_base,capital:0,capital,chat_template,0,110.48628997802734,165.9036407470703,0.23266682028770447
gemma_270m_base,capital:0,capital,chat_template,1,793.38232421875,108.91413879394531,0.2143598347902298
gemma_270m_base,capital:0,capital,chat_template,2,1069.96435546875,20.939889907836914,0.17604555189609528
gemma_270m_base,capital:0,capital,chat_template,3,1851.256103515625,15.448832511901855,0.23541319370269775
gemma_270m_base,capital:0,capital,chat_template,4,2364.826171875,9.959844589233398,0.19466325640678406
gemma_270m_base,capital:0,capital,chat_template,5,3455.201904296875,17.41249656677246,0.1547650694847107
gemma_270m_base,capital:0,capital,chat_template,6,3772.56396484375,6.392791271209717,0.1578141152858734
gemma_270m_base,capital:0,capital,chat_template,7,5347.35595703125,16.119035720825195,0.17143094539642334
gemma_270m_base,capital:0,capital,chat_template,8,5673.02294921875,20.40503692626953,0.21159398555755615
gemma_270m_base,capital:0,capital,chat_template,9,6441.28759765625,11.508464813232422,0.15146271884441376
gemma_270m_base,capital:0,capital,chat_template,10,10792.91796875,27.35074234008789,0.20815147459506989
gemma_270m_base,capital:0,capital,chat_template,11,11082.2822265625,4.036681175231934,0.2167443335056305
gemma_270m_base,capital:0,capital,chat_template,12,14989.6376953125,24.805967330932617,0.16323205828666687
gemma_270m_base,capital:0,capital,chat_template,13,18854.986328125,31.882080078125,0.1275724470615387
gemma_270m_base,capital:0,capital,chat_template,14,22668.130859375,45.38728332519531,0.1334826648235321
gemma_270m_base,capital:0,capital,chat_template,15,25207.240234375,32.945823669433594,0.10178936272859573
gemma_270m_base,capital:0,capital,chat_template,16,34731.82421875,38.817020416259766,0.09014663100242615
gemma_270m_base,capital:0,capital,chat_template,17,93.79279327392578,11.476347923278809,0.11866886168718338
gemma_270m_base,capital:1,capital,raw_question,0,151.0588836669922,191.30079650878906,0.22168803215026855
gemma_270m_base,capital:1,capital,raw_question,1,1096.82666015625,104.5611801147461,0.1884191930294037
gemma_270m_base,capital:1,capital,raw_question,2,1307.40625,16.381824493408203,0.16389186680316925
gemma_270m_base,capital:1,capital,raw_question,3,1903.485595703125,12.895078659057617,0.22241464257240295
gemma_270m_base,capital:1,capital,raw_question,4,2185.8955078125,9.54306697845459,0.1818012297153473
gemma_270m_base,capital:1,capital,raw_question,5,2757.240966796875,17.944387435913086,0.1484651267528534
gemma_270m_base,capital:1,capital,raw_question,6,3540.6943359375,8.649200439453125,0.16633042693138123
gemma_270m_base,capital:1,capital,raw_question,7,5340.515625,18.09157943725586,0.1808590590953827
gemma_270m_base,capital:1,capital,raw_question,8,5632.60693359375,20.98197364807129,0.18351447582244873
gemma_270m_base,capital:1,capital,raw_question,9,5934.17236328125,13.75750732421875,0.1509133279323578
gemma_270m_base,capital:1,capital,raw_question,10,11171.88671875,29.98349952697754,0.21148718893527985
gemma_270m_base,capital:1,capital,raw_question,11,11358.1474609375,4.352907657623291,0.19216443598270416
gemma_270m_base,capital:1,capital,raw_question,12,15042.3955078125,27.438037872314453,0.14750969409942627
gemma_270m_base,capital:1,capital,raw_question,13,18234.177734375,31.652597427368164,0.11298663169145584
gemma_270m_base,capital:1,capital,raw_question,14,20380.984375,50.155982971191406,0.11773528158664703
gemma_270m_base,capital:1,capital,raw_question,15,21822.005859375,34.33224105834961,0.1044081598520279
gemma_270m_base,capital:1,capital,raw_question,16,30335.318359375,41.900909423828125,0.09864620864391327
gemma_270m_base,capital:1,capital,raw_question,17,87.37892150878906,12.536026954650879,0.12228259444236755
gemma_270m_base,capital:1,capital,declarative,0,125.13260650634766,155.10299682617188,0.1935303807258606
gemma_270m_base,capital:1,capital,declarative,1,923.7254638671875,106.10981750488281,0.2216414213180542
gemma_270m_base,capital:1,capital,declarative,2,1233.1591796875,19.099145889282227,0.1862909495830536
gemma_270m_base,capital:1,capital,declarative,3,1737.451171875,13.411360740661621,0.2316417396068573
gemma_270m_base,capital:1,capital,declarative,4,2485.38818359375,10.451499938964844,0.19258689880371094
gemma_270m_base,capital:1,capital,declarative,5,2859.335205078125,18.00894546508789,0.1504186987876892
gemma_270m_base,capital:1,capital,declarative,6,3683.957275390625,8.608274459838867,0.16770824790000916
gemma_270m_base,capital:1,capital,declarative,7,6338.5888671875,19.430519104003906,0.18195335566997528
gemma_270m_base,capital:1,capital,declarative,8,5872.3671875,19.737239837646484,0.16980677843093872
gemma_270m_base,capital:1,capital,declarative,9,6925.1328125,16.847375869750977,0.14104455709457397
gemma_270m_base,capital:1,capital,declarative,10,9637.0634765625,30.46501922607422,0.18435341119766235
gemma_270m_base,capital:1,capital,declarative,11,11410.7509765625,4.3413777351379395,0.20631229877471924
gemma_270m_base,capital:1,capital,declarative,12,14755.91796875,35.87014389038086,0.16060563921928406
gemma_270m_base,capital:1,capital,declarative,13,18949.171875,27.941268920898438,0.1316724270582199
gemma_270m_base,capital:1,capital,declarative,14,23653.7578125,53.29476547241211,0.1208047866821289
gemma_270m_base,capital:1,capital,declarative,15,25223.08984375,38.816551208496094,0.09700657427310944
gemma_270m_base,capital:1,capital,declarative,16,31536.048828125,40.27067565917969,0.09540735930204391
gemma_270m_base,capital:1,capital,declarative,17,118.1317367553711,11.592850685119629,0.11426503956317902
gemma_270m_base,capital:1,capital,qa,0,111.64757537841797,140.19415283203125,0.24760276079177856
gemma_270m_base,capital:1,capital,qa,1,836.2166137695312,156.94265747070312,0.23157697916030884
gemma_270m_base,capital:1,capital,qa,2,1011.1303100585938,22.97057342529297,0.18858245015144348
gemma_270m_base,capital:1,capital,qa,3,2275.162353515625,14.368454933166504,0.2361472249031067
gemma_270m_base,capital:1,capital,qa,4,1794.56494140625,12.335274696350098,0.19173964858055115
gemma_270m_base,capital:1,capital,qa,5,3250.11328125,17.17670249938965,0.15005168318748474
gemma_270m_base,capital:1,capital,qa,6,3488.105712890625,8.168059349060059,0.1482216715812683
gemma_270m_base,capital:1,capital,qa,7,4964.81201171875,17.482933044433594,0.16217058897018433
gemma_270m_base,capital:1,capital,qa,8,5097.44580078125,22.435529708862305,0.19488097727298737
gemma_270m_base,capital:1,capital,qa,9,5493.5224609375,16.621530532836914,0.1466754972934723
gemma_270m_base,capital:1,capital,qa,10,9829.2802734375,31.546409606933594,0.20330122113227844
gemma_270m_base,capital:1,capital,qa,11,10085.3779296875,4.642233848571777,0.2050052136182785
gemma_270m_base,capital:1,capital,qa,12,14377.3720703125,35.06193161010742,0.15980491042137146
gemma_270m_base,capital:1,capital,qa,13,17342.64453125,30.567502975463867,0.12548811733722687
gemma_270m_base,capital:1,capital,qa,14,21769.544921875,48.353782653808594,0.12313336879014969
gemma_270m_base,capital:1,capital,qa,15,24194.154296875,32.64457321166992,0.09937793016433716
