layer,neuron,mean_abs_activation,activation_std,family_mean_std,sharedness,family_sensitivity,invariance_score,prompt_sensitive_score
10,232,0.16907958984375,0.0012132953945104264,0.00021665331236936836,139.24090514394044,0.0012813612288056309,139.06271557183427,3.663165319370265e-05
9,880,0.1685791015625,0.0021248651349522964,0.0008086179278163732,79.29905749467162,0.004796639225635911,78.92050430800089,0.00013631608377861468
5,1401,0.167919921875,0.0023156065823006586,0.0007827743916934277,72.48529947119292,0.0046615655926193844,72.14897230435608,0.000131443414698911
5,1457,0.16651611328125,0.0024704992639926144,0.0009375603974278484,67.37453484499504,0.005630414670018296,66.99731219555737,0.00015611891334610937
9,1350,0.168115234375,0.0026253916130410276,0.0007283414985437622,64.00996467558161,0.004332368621338044,63.733846160359285,0.0001224453017327233
10,1165,0.1673583984375,0.0026938569934953503,0.0010588500215918681,62.10288666205944,0.00632680346295158,61.71244415666187,0.00017720744379912733
0,1652,0.1675537109375,0.0027654786152003347,0.0013365445012862355,60.56569894192606,0.007976764686638882,60.08640383764679,0.00022394299102361897
7,1688,0.167431640625,0.0028257102141074778,0.0005224837538826414,59.23197920656534,0.003120560912927676,59.047717208247676,8.748031211247937e-05
17,1557,0.1672119140625,0.00282180518383967,0.0005761925645120021,59.23608013042295,0.0034458616294231665,59.03266174642822,9.634626158063239e-05
5,501,0.16622314453125,0.0030166683862656663,0.002396156593297157,55.08330381422375,0.01441521386712074,54.30054977609905,0.00039829668372714095
16,1591,0.16767578125,0.0031921795173205387,0.001252990959019183,52.51060278336625,0.007472656319368505,52.121119569840126,0.00021009623795272822
6,1226,0.1667724609375,0.003400397776728192,0.0019967360088469074,49.030566809483425,0.011972744330077816,48.4504815808468,0.00033300057803792055
15,398,0.16646728515625,0.0034559267510294303,0.0010348654284504032,48.15470420560057,0.006216592112299714,47.857195541281854,0.0001722712383761981
11,1577,0.1665283203125,0.003630971134265412,0.0010948284826552109,45.85067285954115,0.006574388705849002,45.55120155450337,0.00018231994824685532
17,1531,0.1669677734375,0.003702495408760432,0.0005241921521871112,45.083834326497644,0.003139462196404812,44.94273829860626,8.752319650409309e-05
12,187,0.16673583984375,0.003822165541003722,0.002243538107469941,43.611985422942396,0.013455563327051015,43.03295280137352,0.0003740782105704581
4,1909,0.16683349609375,0.003821229758266735,0.0027524893071160022,43.648212338078785,0.016498322418699814,42.93977803546232,0.00045920741406682623
17,435,0.16588134765625,0.003899358392170462,0.0029451850438555866,42.529770594732646,0.01775466217754979,41.78784158427488,0.0004885512641717965
5,630,0.1662353515625,0.003945647876950537,0.0023085171191411244,42.12064434057019,0.013886957319760411,41.54372835795948,0.00038375715488847453
6,784,0.1666748046875,0.004010971163113203,0.0014111666031853863,41.54436757171603,0.008466535414850275,41.195583703356135,0.0002352059179674471
2,401,0.1631103515625,0.003903120694795651,0.0026136733418136884,41.77902383497842,0.01602385926409418,41.12012080625641,0.00042631717765276495
11,618,0.16612548828125,0.004044176741285578,0.002725067647041804,41.06754757727952,0.016403571009267946,40.404765143141205,0.00045270319346425676
5,164,0.16600341796875,0.004101253679547667,0.0023585488091780586,40.46639504435871,0.01420774722767951,39.899512851260454,0.0003915271637696829
5,1682,0.167724609375,0.004252534447227149,0.00314761561416979,39.43182110217505,0.01876645806146614,38.70545677093344,0.0005279325993492787
17,764,0.16468505859375,0.004183985559119472,0.0027967424840808146,39.35140426826227,0.01698226618550548,38.69428757677498,0.00046058169986247884
12,1805,0.166357421875,0.00426820379423832,0.0016053986545677356,38.96684953281324,0.0096502397442434,38.59440427873717,0.0002670699812554822
5,303,0.16673583984375,0.004352949294729349,0.0024776063758808723,38.29531043128849,0.014859381875071223,37.73459763512599,0.000413105779884727
5,1284,0.166015625,0.004397243086882588,0.002405497643897189,37.74589574076259,0.014489498530024863,37.20678804014793,0.0003993501947876193
9,1681,0.16676025390625,0.004491772839854856,0.002622296485168083,37.11744614081966,0.015724854687422105,36.54281567446938,0.0004372948276840964
16,1580,0.16650390625,0.004554384303266023,0.0016712491298950074,36.55101198171657,0.010037236544764022,36.18778660750559,0.0002782695084444324
5,203,0.16656494140625,0.0045852800772100445,0.003471843645862426,36.31809191809669,0.02084365877292219,35.57654652207164,0.0005782874334447364
6,1560,0.16676025390625,0.004701830891852708,0.0025550631558997824,35.4595471836228,0.015321683520898629,34.92444587675639,0.0004260829806243521
